Date,Symbol,Close,prediction
2011-06-01,LT,1684.95,1676.9047420678464
2011-06-02,LT,1672.1,1666.5627315797028
2011-06-03,ICICIBANK,1047.4,1054.1464466137556
2011-06-06,TITAN,4368.85,4356.098325641097
2011-06-08,ICICIBANK,1049.05,1051.6986183053264
2011-06-09,LT,1725.95,1720.115494298744
2011-06-13,ICICIBANK,1039.6,1040.3433376170406
2011-06-15,ICICIBANK,1031.15,1035.1866943177436
2011-06-17,TITAN,4559.65,4559.592610735471
2011-06-20,ICICIBANK,1024.85,1023.3230476879188
2011-06-20,LT,1660.8,1667.6333190187434
2011-06-21,ICICIBANK,1014.0,1017.5938925825244
2011-06-21,TITAN,4578.7,4559.883632292308
2011-06-22,LT,1653.6,1664.6841110770272
2011-06-24,TITAN,216.4,222.17964237179854
2011-06-28,TITAN,212.6,214.4896395394762
2011-07-01,ICICIBANK,1094.85,1093.5670151888994
2011-07-08,TITAN,226.15,228.42937770249978
2011-07-13,TITAN,225.15,225.74801355423716
2011-07-14,TITAN,227.2,226.9855962325409
2011-07-14,TITAN,227.2,227.01287935586743
2011-07-15,ICICIBANK,1060.65,1065.953843595334
2011-07-19,LT,1814.65,1806.2004438741646
2011-07-19,TITAN,233.3,231.95152877875697
2011-07-27,ICICIBANK,1024.9,1027.774386043282
2011-07-29,ICICIBANK,1036.75,1035.5377950998266
2011-08-01,ICICIBANK,1045.35,1047.0730117641228
2011-08-01,TITAN,228.05,228.4738159709956
2011-08-02,TITAN,228.8,228.3847748321645
2011-08-08,TITAN,215.3,213.40467180994895
2011-08-10,ICICIBANK,963.7,964.2784495371351
2011-08-17,ICICIBANK,909.8,919.9445142183017
2011-08-19,ICICIBANK,832.15,835.2901380310623
2011-08-23,ICICIBANK,852.15,842.5752938879722
2011-08-24,LT,1558.05,1565.9237186470186
2011-08-30,TITAN,205.7,207.81221426200165
2011-09-07,LT,1680.05,1681.4606776278981
2011-09-08,ICICIBANK,918.95,908.2281976026962
2011-09-09,ICICIBANK,896.8,901.5023912656262
2011-09-09,TITAN,226.85,227.5059178417157
2011-09-12,TITAN,214.4,216.70478697733986
2011-09-13,ICICIBANK,852.4,855.2724638572864
2011-09-21,LT,1559.0,1573.0847203920407
2011-09-22,ICICIBANK,862.35,863.1288204744016
2011-09-22,LT,1491.55,1495.8354857478107
2011-09-23,LT,1451.25,1450.1120450912085
2011-09-26,ICICIBANK,858.05,858.6178887861714
2011-09-29,ICICIBANK,890.7,884.3317756526362
2011-09-29,TITAN,205.65,202.80922292629427
2011-10-04,LT,1338.7,1348.025250539521
2011-10-11,LT,1409.8,1418.639781104254
2011-10-12,ICICIBANK,859.7,852.6656586495692
2011-10-13,ICICIBANK,879.85,878.3367426699159
2011-10-17,ICICIBANK,898.85,894.9800702960185
2011-10-24,LT,1294.25,1305.5020339348334
2011-10-26,ICICIBANK,871.7,869.7724146855367
2011-10-28,LT,1417.0,1409.4261986585286
2011-11-03,ICICIBANK,878.05,880.4706766753759
2011-11-08,TITAN,221.9,220.97818261901722
2011-11-11,LT,1330.4,1334.95259185606
2011-11-16,LT,1236.5,1237.2667695609005
2011-11-16,TITAN,211.8,211.15169249378755
2011-11-18,LT,1244.6,1226.183863315895
2011-11-22,TITAN,185.55,188.47816653264175
2011-11-23,TITAN,190.55,187.78325711841592
2011-11-24,LT,1224.0,1208.009456648001
2011-11-29,LT,1277.1,1270.5907969782684
2011-12-01,LT,1294.6,1305.773010412608
2011-12-02,ICICIBANK,787.7,779.8534701483208
2011-12-02,TITAN,191.45,189.8556476863285
2011-12-05,LT,1315.65,1311.9773634383598
2011-12-08,ICICIBANK,744.3,749.3241531788932
2011-12-09,ICICIBANK,731.15,732.6489743097595
2011-12-12,LT,1195.55,1201.6073678001828
2011-12-14,ICICIBANK,704.4,707.8403694617357
2011-12-14,LT,1159.8,1180.5207954623559
2011-12-14,TITAN,167.15,167.6917742312227
2011-12-15,TITAN,163.25,157.6846740119083
2011-12-15,TITAN,163.25,157.73657849043195
2011-12-16,ICICIBANK,676.0,685.2322659933145
2011-12-16,TITAN,161.5,166.64046792463552
2011-12-19,ICICIBANK,657.2,648.7039994359379
2011-12-23,TITAN,171.55,171.90379714247902
2011-12-28,TITAN,173.75,172.71939027928167
2011-12-30,ICICIBANK,684.65,689.9593903559806
2012-01-02,ICICIBANK,696.55,693.1949122661985
2012-01-05,LT,1087.8,1085.246447165071
2012-01-07,ICICIBANK,745.2,744.1566338476068
2012-01-09,LT,1088.1,1064.2159023224422
2012-01-09,TITAN,175.55,173.66326470408524
2012-01-10,ICICIBANK,774.5,771.3493258101352
2012-01-11,ICICIBANK,780.15,783.1818331831977
2012-01-11,TITAN,183.8,183.86485452966298
2012-01-12,ICICIBANK,781.4,788.1586839252618
2012-01-13,ICICIBANK,789.45,798.8404854441815
2012-01-16,TITAN,184.35,183.88165145006033
2012-01-19,ICICIBANK,797.2,796.3414713716453
2012-01-19,TITAN,182.4,183.51556854302075
2012-01-25,ICICIBANK,880.05,877.1798753024907
2012-01-25,TITAN,197.9,197.23271393251684
2012-01-27,LT,1381.5,1363.65899280977
2012-01-27,TITAN,206.45,204.8106486661425
2012-01-31,TITAN,203.0,202.3818697758371
2012-02-01,TITAN,196.2,196.6293435702131
2012-02-02,ICICIBANK,902.35,893.7821087003792
2012-02-03,LT,1354.6,1345.5489560811475
2012-02-07,ICICIBANK,937.75,934.044044688653
2012-02-09,TITAN,210.55,209.73895439484912
2012-02-10,ICICIBANK,930.45,924.9638091730615
2012-02-10,TITAN,206.95,208.53984756923225
2012-02-17,TITAN,231.95,230.89607700902187
2012-02-21,ICICIBANK,991.3,992.5910917458907
2012-02-23,TITAN,225.2,226.1695678825205
2012-02-27,ICICIBANK,887.45,894.2616853941871
2012-02-28,LT,1348.8,1319.9919903830018
2012-02-29,ICICIBANK,906.3,906.767634298949
2012-03-01,ICICIBANK,883.5,877.834421002923
2012-03-02,TITAN,229.5,228.6793553493197
2012-03-06,TITAN,230.8,232.55100591671186
2012-03-07,TITAN,231.4,231.7486071955747
2012-03-09,LT,1302.35,1295.9155684498132
2012-03-12,TITAN,246.1,244.49120143589704
2012-03-14,TITAN,247.95,249.19134146684303
2012-03-20,LT,1287.1,1297.7690239837873
2012-03-22,ICICIBANK,899.65,906.5182893480988
2012-03-26,TITAN,228.85,229.71770326605525
2012-03-27,ICICIBANK,877.9,861.4918541843481
2012-03-28,ICICIBANK,859.35,858.1593032079467
2012-03-29,ICICIBANK,855.75,862.6986421710715
2012-03-30,ICICIBANK,890.2,885.7978958307651
2012-04-03,TITAN,247.7,248.98102226497465
2012-04-10,TITAN,243.8,241.52009709268037
2012-04-13,TITAN,238.0,238.77660161273997
2012-04-16,LT,1301.5,1296.4965445435623
2012-04-17,TITAN,235.25,232.18935412801832
2012-04-18,LT,1324.65,1331.1881947545546
2012-04-18,LT,1324.65,1331.2966618058283
2012-04-20,ICICIBANK,861.05,864.1058213642762
2012-04-26,LT,1226.65,1223.7310941780388
2012-04-26,TITAN,229.4,231.90541859345137
2012-04-30,LT,1226.85,1233.4032192836175
2012-05-02,LT,1214.35,1223.2514337330006
2012-05-02,TITAN,243.45,242.95767802267727
2012-05-03,TITAN,246.4,245.40910421176008
2012-05-04,ICICIBANK,833.35,826.1771733563522
2012-05-08,ICICIBANK,830.15,834.0968435825265
2012-05-09,LT,1156.95,1173.0946411943771
2012-05-10,LT,1154.95,1173.144844256102
2012-05-15,LT,1222.25,1209.195419214182
2012-05-17,ICICIBANK,787.45,791.4526250931933
2012-05-17,TITAN,229.95,232.35321174075125
2012-05-21,LT,1192.25,1191.1603221517498
2012-05-22,ICICIBANK,800.8,807.1902716159047
2012-05-25,ICICIBANK,814.6,813.1660909740775
2012-05-29,LT,1202.15,1206.0150074905994
2012-06-01,LT,1134.9,1143.5796954494388
2012-06-05,ICICIBANK,792.05,794.4663603935973
2012-06-05,ICICIBANK,792.05,794.508948683668
2012-06-06,LT,1267.15,1255.305631617863
2012-06-12,TITAN,220.6,218.17615209982475
2012-06-13,ICICIBANK,849.35,850.2252234584364
2012-06-14,LT,1296.9,1308.1002336382185
2012-06-14,TITAN,213.6,214.90727543143032
2012-06-15,LT,1323.75,1316.3530327318194
2012-06-18,ICICIBANK,816.55,826.5469947053149
2012-06-18,LT,1319.95,1324.3892424092637
2012-06-18,TITAN,219.8,219.22650481697002
2012-06-19,LT,1330.3,1327.0793190703798
2012-06-22,ICICIBANK,851.7,845.828352876821
2012-06-25,ICICIBANK,846.9,857.1179284666565
2012-06-25,LT,1355.45,1370.132908126917
2012-06-26,ICICIBANK,844.1,845.4835618117218
2012-06-28,LT,1343.35,1347.1588012601212
2012-06-29,ICICIBANK,899.5,896.0122880426201
2012-06-29,LT,1397.8,1388.80642120897
2012-07-03,TITAN,237.7,236.0598480856306
2012-07-05,LT,1428.45,1424.5283110923915
2012-07-05,TITAN,233.15,233.6326870808619
2012-07-09,LT,1388.8,1388.058269686767
2012-07-12,ICICIBANK,927.85,928.5739038618362
2012-07-12,LT,1407.6,1416.9058426492636
2012-07-13,ICICIBANK,926.05,929.7193490241704
2012-07-13,LT,1404.75,1411.61400002883
2012-07-16,ICICIBANK,920.1,923.7912991434623
2012-07-20,LT,1390.4,1394.2246223652
2012-07-24,LT,1354.7,1365.6171057429663
2012-07-25,ICICIBANK,917.95,914.2521551737561
2012-07-26,ICICIBANK,906.75,907.2007648985425
2012-07-26,ICICIBANK,906.75,907.3498239137899
2012-07-30,TITAN,233.0,230.76708076636658
2012-07-31,ICICIBANK,961.4,956.8724954290246
2012-07-31,TITAN,221.95,224.00430858513326
2012-08-01,LT,1382.1,1376.2494585247202
2012-08-06,ICICIBANK,954.0,956.1541155967141
2012-08-06,LT,1406.2,1406.7891279099476
2012-08-06,TITAN,229.3,228.37601403729977
2012-08-07,ICICIBANK,974.3,968.4684913997098
2012-08-07,TITAN,227.6,227.83392794136478
2012-08-08,LT,1405.1,1412.0419443443504
2012-08-09,ICICIBANK,952.65,959.9153277953053
2012-08-10,ICICIBANK,954.75,943.8665398972911
2012-08-10,LT,1423.95,1413.8923124956257
2012-08-14,ICICIBANK,969.8,966.4409413591283
2012-08-14,LT,1454.6,1445.8633488585347
2012-08-14,TITAN,225.15,222.9807772083234
2012-08-24,ICICIBANK,954.35,958.2707011750012
2012-08-27,ICICIBANK,935.25,938.3988517591317
2012-08-27,LT,1396.6,1399.6616851905683
2012-09-03,ICICIBANK,902.8,905.8439413175203
2012-09-04,ICICIBANK,912.65,903.9762284871698
2012-09-13,TITAN,239.2,238.06055523082435
2012-09-13,TITAN,239.2,238.07386407147143
2012-09-14,TITAN,240.55,240.97865833197136
2012-09-18,ICICIBANK,1049.05,1048.0692308722091
2012-09-18,LT,1553.65,1549.3120684198336
2012-09-18,TITAN,240.9,230.12184177045023
2012-09-20,TITAN,242.5,242.06271014331818
2012-09-21,ICICIBANK,1065.5,1071.8253422333062
2012-09-24,ICICIBANK,1070.95,1076.2799555676183
2012-09-24,TITAN,244.25,244.8826476267565
2012-09-25,ICICIBANK,1066.9,1071.322904688216
2012-09-25,LT,1574.45,1588.1879784723947
2012-10-01,ICICIBANK,1050.65,1050.0311877678118
2012-10-01,TITAN,262.3,261.2639241354727
2012-10-04,ICICIBANK,1083.4,1084.6602425721462
2012-10-10,ICICIBANK,1054.2,1053.1185393586877
2012-10-16,TITAN,272.7,272.77771715748975
2012-10-19,ICICIBANK,1057.3,1064.0377124080296
2012-10-19,LT,1633.05,1633.5824173802123
2012-10-19,LT,1633.05,1633.8359507945393
2012-10-23,LT,1701.35,1698.0384712746547
2012-10-26,ICICIBANK,1078.35,1090.992749519792
2012-10-29,ICICIBANK,1068.45,1072.051048881124
2012-10-30,ICICIBANK,1045.15,1053.8427282328767
2012-11-05,TITAN,289.95,290.79467392824347
2012-11-07,ICICIBANK,1092.95,1091.6340199691406
2012-11-07,ICICIBANK,1092.95,1091.7970532670674
2012-11-07,TITAN,292.35,292.8949463535423
2012-11-09,ICICIBANK,1059.2,1060.8684096878267
2012-11-09,LT,1621.1,1618.9643960268124
2012-11-15,TITAN,299.5,296.9165600017265
2012-11-16,ICICIBANK,1027.3,1031.3520945943617
2012-11-16,LT,1578.35,1595.349837244186
2012-11-19,LT,1558.45,1565.9262957875555
2012-11-22,ICICIBANK,1032.6,1040.1329010431282
2012-11-30,TITAN,311.7,309.15579377359734
2012-12-03,ICICIBANK,1102.3,1107.6250614996197
2012-12-03,TITAN,306.0,309.0851565145662
2012-12-04,ICICIBANK,1119.35,1112.542829399572
2012-12-04,TITAN,305.5,305.25783767322855
2012-12-11,ICICIBANK,1122.65,1130.8468258530806
2012-12-11,LT,1667.65,1662.9968088602288
2012-12-13,ICICIBANK,1121.25,1126.5289230453852
2012-12-17,TITAN,283.45,283.71423737369986
2012-12-21,TITAN,280.0,281.66928231223955
2012-12-26,LT,1622.35,1611.8713792113526
2012-12-28,ICICIBANK,1141.55,1135.7171760824438
2012-12-28,LT,1619.95,1618.9658713944564
2013-01-02,LT,1649.55,1644.9242876774124
2013-01-03,ICICIBANK,1172.05,1168.7782188273713
2013-01-11,LT,1531.95,1532.1333802780475
2013-01-15,ICICIBANK,1204.35,1197.3119625006184
2013-01-16,LT,1544.2,1554.441665302357
2013-01-17,LT,1527.7,1533.7766580230625
2013-01-18,LT,1537.2,1549.489804837546
2013-01-21,TITAN,276.35,274.02781472640817
2013-01-23,LT,1561.1,1558.043845372665
2013-01-25,LT,1611.3,1600.5509277135825
2013-01-28,TITAN,270.5,271.7393423010327
2013-02-01,TITAN,286.55,285.0928694387115
2013-02-04,LT,1534.95,1540.829870164269
2013-02-04,TITAN,285.4,286.2549388146051
2013-02-06,ICICIBANK,1155.25,1155.984190359954
2013-02-06,LT,1513.0,1514.315499826752
2013-02-07,LT,1496.4,1497.299699623721
2013-02-08,ICICIBANK,1130.15,1132.5586805352848
2013-02-11,ICICIBANK,1122.7,1122.2486333918446
2013-02-12,ICICIBANK,1128.85,1125.2454319494843
2013-02-12,LT,1495.0,1492.3679582781783
2013-02-13,LT,1482.05,1495.2043133897187
2013-02-15,LT,1444.0,1443.4224984772736
2013-02-15,TITAN,267.8,266.33597936111494
2013-02-18,ICICIBANK,1122.0,1124.7690598624577
2013-02-18,LT,1468.95,1465.230282206673
2013-02-26,ICICIBANK,1064.0,1062.0035353316089
2013-02-27,ICICIBANK,1083.15,1083.5337434648252
2013-02-27,TITAN,255.1,256.5599999247385
2013-03-05,ICICIBANK,1093.6,1088.513947658079
2013-03-07,ICICIBANK,1117.15,1114.1045091828648
2013-03-08,LT,1497.55,1492.8942126274678
2013-03-13,ICICIBANK,1085.7,1091.1018339280588
2013-03-13,LT,1495.45,1501.920494171616
2013-03-15,TITAN,242.15,240.89072930445664
2013-03-19,TITAN,242.6,241.25070729081307
2013-03-20,ICICIBANK,1001.55,1007.8887609232762
2013-03-21,ICICIBANK,1035.35,1045.8550200901411
2013-03-28,LT,1366.2,1363.1583575537895
2013-04-05,LT,1349.8,1354.49410448368
2013-04-08,ICICIBANK,989.1,996.8905018163033
2013-04-08,LT,1325.65,1326.8913838666067
2013-04-08,TITAN,252.5,247.95448337467204
2013-04-10,ICICIBANK,1004.3,992.7843505141175
2013-04-11,TITAN,254.25,251.43409299514263
2013-04-12,ICICIBANK,1045.35,1042.3877663684575
2013-04-17,LT,1424.15,1426.570806864076
2013-04-25,LT,1519.25,1516.0784236274446
2013-04-26,TITAN,264.0,263.49309367355454
2013-04-30,ICICIBANK,1163.65,1156.681201022485
2013-05-03,ICICIBANK,1129.95,1135.050083192922
2013-05-03,TITAN,270.5,272.61257212109604
2013-05-06,ICICIBANK,1142.65,1129.8976224543396
2013-05-06,TITAN,274.55,273.91293810727853
2013-05-07,TITAN,278.35,278.3716116235664
2013-05-08,ICICIBANK,1157.95,1155.8583690721473
2013-05-09,ICICIBANK,1152.65,1151.5647544216163
2013-05-10,TITAN,287.4,285.3243595228466
2013-05-11,ICICIBANK,1167.95,1169.1877724663696
2013-05-14,LT,1521.35,1513.2538981383586
2013-05-15,ICICIBANK,1191.25,1186.5459569617067
2013-05-15,TITAN,284.8,285.9562279071328
2013-05-17,LT,1623.4,1608.9164633084151
2013-05-21,LT,1605.55,1605.9452531617355
2013-05-22,TITAN,275.25,275.2387625974071
2013-05-24,TITAN,276.5,274.28868672277
2013-05-27,ICICIBANK,1219.4,1212.7772863756052
2013-05-27,TITAN,289.0,286.94166688633555
2013-05-28,ICICIBANK,1231.95,1231.8313048663388
2013-05-29,LT,1446.2,1441.4706640740817
2013-05-30,ICICIBANK,1182.8,1179.9351245836383
2013-06-03,ICICIBANK,1145.15,1144.4399875056308
2013-06-04,TITAN,281.55,283.51381444306907
2013-06-05,TITAN,279.1,278.7299990811971
2013-06-06,TITAN,277.2,277.7453416188581
2013-06-07,LT,1412.3,1423.440920067117
2013-06-10,TITAN,264.7,266.2376299502501
2013-06-11,LT,1403.05,1407.3980360976564
2013-06-11,TITAN,237.2,236.288261729719
2013-06-13,TITAN,213.75,214.2743283607575
2013-06-14,TITAN,225.2,225.33231326197355
2013-06-17,ICICIBANK,1101.45,1089.3807682141012
2013-06-18,LT,1437.85,1444.1576553424347
2013-06-20,ICICIBANK,1046.15,1044.6667171976924
2013-06-20,TITAN,225.05,224.75261295560392
2013-06-21,TITAN,223.05,222.98902512557007
2013-06-25,TITAN,228.65,225.67979022877293
2013-06-26,LT,1352.55,1361.8574824255427
2013-06-27,ICICIBANK,1030.55,1031.1114417871388
2013-06-28,ICICIBANK,1070.75,1065.8392409003407
2013-07-01,LT,1451.65,1444.5018439411897
2013-07-02,LT,1429.5,1427.3171760364105
2013-07-05,ICICIBANK,1051.55,1057.2855129160912
2013-07-05,LT,1408.8,1412.5297979910465
2013-07-09,TITAN,239.15,239.47801506808034
2013-07-11,ICICIBANK,1057.95,1063.7360104424943
2013-07-11,LT,964.85,968.0504805968015
2013-07-12,TITAN,249.5,246.65422039203594
2013-07-15,TITAN,252.5,252.2639329143185
2013-07-17,ICICIBANK,980.25,980.2379893111026
2013-07-19,TITAN,261.45,259.94358162678753
2013-07-22,ICICIBANK,974.45,970.2930430080658
2013-08-01,ICICIBANK,914.2,900.4082858660253
2013-08-07,LT,779.0,780.4076172755671
2013-08-08,ICICIBANK,875.05,874.771355176101
2013-08-13,ICICIBANK,892.55,882.6132907479384
2013-08-19,ICICIBANK,815.35,822.764063289943
2013-08-20,LT,732.5,731.7987656332115
2013-08-21,ICICIBANK,829.55,828.1743932494204
2013-08-21,LT,709.4,734.7613792169158
2013-08-22,TITAN,225.75,224.32814615705922
2013-08-23,TITAN,228.4,234.13453679794574
2013-08-26,LT,746.35,748.6332948550248
2013-08-28,LT,705.05,695.19173284041
2013-09-05,LT,727.8,724.7132927301303
2013-09-10,ICICIBANK,969.6,975.6780558842219
2013-09-11,ICICIBANK,969.75,962.0495250690583
2013-09-11,LT,818.4,816.3258416904715
2013-09-13,ICICIBANK,941.95,949.2295736390297
2013-09-17,LT,821.25,822.6312139409737
2013-09-18,LT,836.95,836.4379504503369
2013-09-20,ICICIBANK,987.25,980.213318385258
2013-09-20,TITAN,232.7,230.13268904327526
2013-09-25,LT,831.35,829.5408390157731
2013-09-26,TITAN,241.25,242.21698711268365
2013-10-07,ICICIBANK,916.2,900.1313756777648
2013-10-07,LT,809.15,806.351303333941
2013-10-08,ICICIBANK,937.1,939.4895327819105
2013-10-08,LT,828.4,827.4083820009472
2013-10-08,TITAN,241.0,241.9227277757914
2013-10-10,ICICIBANK,948.05,946.4662333206968
2013-10-10,LT,845.7,848.684568446871
2013-10-17,LT,836.9,842.776671104849
